report_id,statistics_time,statistics_cycle,item_id,item_name,item_tags,total_click,total_try_on,try_on_conversion_rate,total_favorite,favorite_conversion_rate,heat_level,recommend_operation_strategy,inventory_suggestion,tag_heat_analysis
1,2026-06-01 15:09:03,实时,11,渐变星空,渐变,0,0,0.00%,0,0.00%,C级冷门款,【观察调整】渐变星空数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,标签 '渐变' 暂未产生足够数据，建议优化标签准确性并提升曝光
1,2026-06-01 15:09:03,实时,12,樱花粉渐变,渐变,0,0,0.00%,0,0.00%,C级冷门款,【观察调整】樱花粉渐变数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,标签 '渐变' 暂未产生足够数据，建议优化标签准确性并提升曝光
1,2026-06-01 15:09:03,实时,13,猫眼石绿,猫眼,0,0,0.00%,0,0.00%,C级冷门款,【观察调整】猫眼石绿数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,标签 '猫眼' 暂未产生足够数据，建议优化标签准确性并提升曝光
1,2026-06-01 15:09:03,实时,14,琥珀猫眼,猫眼,0,0,0.00%,0,0.00%,C级冷门款,【观察调整】琥珀猫眼数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,标签 '猫眼' 暂未产生足够数据，建议优化标签准确性并提升曝光
1,2026-06-01 15:09:03,实时,15,立体蝴蝶结,"手绘,立体",0,0,0.00%,0,0.00%,C级冷门款,【观察调整】立体蝴蝶结数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,"标签 '手绘, 立体' 暂未产生足够数据，建议优化标签准确性并提升曝光"
1,2026-06-01 15:09:03,实时,16,水墨丹青,"手绘,国风",0,0,0.00%,0,0.00%,C级冷门款,【观察调整】水墨丹青数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,"标签 '手绘, 国风' 暂未产生足够数据，建议优化标签准确性并提升曝光"
1,2026-06-01 15:09:03,实时,17,碎冰蓝钻,"贴钻,装饰",0,0,0.00%,0,0.00%,C级冷门款,【观察调整】碎冰蓝钻数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,"标签 '贴钻, 装饰' 暂未产生足够数据，建议优化标签准确性并提升曝光"
1,2026-06-01 15:09:03,实时,18,小香风粗花呢,"纹理,编织",0,0,0.00%,0,0.00%,C级冷门款,【观察调整】小香风粗花呢数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,"标签 '纹理, 编织' 暂未产生足够数据，建议优化标签准确性并提升曝光"
1,2026-06-01 15:09:03,实时,19,复古酒红,纯色,0,0,0.00%,0,0.00%,C级冷门款,【观察调整】复古酒红数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,标签 '纯色' 暂未产生足够数据，建议优化标签准确性并提升曝光
1,2026-06-01 15:09:03,实时,20,克莱因蓝,纯色,0,0,0.00%,0,0.00%,C级冷门款,【观察调整】克莱因蓝数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,标签 '纯色' 暂未产生足够数据，建议优化标签准确性并提升曝光
1,2026-06-01 15:09:03,实时,21,抹茶生巧,纯色,0,0,0.00%,0,0.00%,C级冷门款,【观察调整】抹茶生巧数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,标签 '纯色' 暂未产生足够数据，建议优化标签准确性并提升曝光
1,2026-06-01 15:09:03,实时,22,暗黑哥特,"纯色,纹理",0,0,0.00%,0,0.00%,C级冷门款,【观察调整】暗黑哥特数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,"标签 '纯色, 纹理' 暂未产生足够数据，建议优化标签准确性并提升曝光"
1,2026-06-01 15:09:03,实时,23,珍珠贝母,"装饰,纹理",0,0,0.00%,0,0.00%,C级冷门款,【观察调整】珍珠贝母数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,"标签 '装饰, 纹理' 暂未产生足够数据，建议优化标签准确性并提升曝光"
1,2026-06-01 15:09:03,实时,24,极光幻彩,"渐变,镜面",0,0,0.00%,0,0.00%,C级冷门款,【观察调整】极光幻彩数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,"标签 '渐变, 镜面' 暂未产生足够数据，建议优化标签准确性并提升曝光"
1,2026-06-01 15:09:03,实时,25,暖橘番茄,纯色,0,0,0.00%,0,0.00%,C级冷门款,【观察调整】暖橘番茄数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,标签 '纯色' 暂未产生足够数据，建议优化标签准确性并提升曝光
